Vragen vanuit bestaande klant software gerelateerd;Antwoorden/oplossingen;Moeilijkheid (beantwoorden) (0=niet, 1=wel);Hoe beantwoorden/ informatiedrager;Voorkombaar
Wat zijn de voordelen/meerwaarde van de games?;Meerwaarde: Meer patienten tegelijkertijd (Of time-on-task verhogen), Verhogen motivatie client, Bekende omgeving (geen motion sickness), Externe focus en impliciet leren, Intensieve multisensorische training.;0;Training, Demonstratie, Telefonisch, Mail, Nieuwsbrief, Website, Video's, Banner, Flyer, Publicaties, FAQ, Chatbot, Cursus, E-learning,  Poster, Infographic, Forum;Ja, maar herhaling is goed
;Revalidatie - Holomoves;;;
Word je misselijk/gedesorienteerd van het dragen van de bril?;Nee, door de MR functie zie je de ruimte om je heen en is de kans klein dat je gedesorienteerd of misselijk wordt. Natuurlijk verschilt dit voor iedereen, maar dit komt alleen bij een enkele persoon voor.;0;Training, Demonstratie, Telefonisch, Mail, Publicaties, FAQ, Chatbot, Cursus, E-learning, Forum;Ja
;;;;
Hoe motiveer ik de rest van de therapeuten/collega's om de techniek te gebruiken?;Door mede therapeuten de techniek te laten ervaren, inzicht te geven in de meerwaardes en na te laten denken over waar zij het voor kunnen gebruiken. Kun je ze overhalen om het in te zetten;0;Training, Demonstratie, Telefonisch, Mail, Video's, Chatbot, Cursus, E-learning, Forum;Ja, maar herhaling is goed
;;;;
Welke game hoort bij welke use case?;Elke game is gemaakt voor verschillende bewegingen en niveau. Hiervoor is een afbeelding waarin deze staan. ;0;Training, Demonstratie, One pager, Telefonisch, Mail, Website, Video's, FAQ, Chatbot, Cursus, E-learning, SOP, Infographic, Forum;Nee, hier moet tijdens het maken van het zorgplan over worden nagedacht en tijdens het uitvoeren constant worden herhaald.
;Menukaart games.pptx;;;
Zijn er handleidingen voor de games?;Ja, er zijn onepagers per game, en meer uitgebreide handleidingen in het nederlands en engels.;0;Training, Demonstratie, One pager, Handleiding, Telefonisch, Mail, FAQ, Chatbot, Cursus;Nee, deze vraag kan altijd gesteld worden door klanten die opzoek zijn naar extra uitleg of mogelijkheden binnen de game
;HoloMoves-Klant Manual_OnePagers_April26_Quest_NL.pdf;;;
Zijn er tutorials of video's met uitleg?;Ja, er zijn nu basic video's over wie HoloMoves is, wat HoloMoves doet, Hoe je het menu bestuurd, re-centeren, hoogte instellen tafelbal;0;Training, Demonstratie, Telefonisch, Mail, Video's, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, de video's kunnen op een centrale plek staan of in de bril
;Besturing Quest;;;
Welke hardware accessoires worden aanbevolen voor optimaal gebruik?;HoloMoves adviseert om bij de Quest 3 een Elite Strap en een Silicone Facial Interface aan te schaffen voor hygiene en comfort te verbeteren. Daarnaast is een goed oplaadstation en oplaadbaren AA baterijen voor de controlers ook aan te raden.;0;Training, Demonstratie, Telefonisch, Mail, Video's, FAQ, Chatbot, Cursus, Forum ;Ja, kan tijdens de demo verteld worden
;;;;
Voor welke leeftijd zijn de games geschikt?;Voor iedereen die de bril fysiek op het hoofd past en fysiek op het juiste niveau. Met kinderen is het wel belangrijk dat ze niet te veel schermtijd krijgen, maar revalidatie gaat voor.;0;Training, Demonstratie, Telefonisch, Mail, FAQ, Chatbot, Cursus, Forum;Ja, kan tijdens de demo verteld worden
;;;;
Bij wie kan het niet ingezet worden?;Gebruik verschilt per persoon. Er zijn enkele situaties waarbij het niveau van de techniek te hoog ligt waardoor gebruikers niet in staat zijn het te kunnen spelen. Het kan ook zijn dat een client een medische aandoening heeft waardoor het onverantwoord is om de techniek toe te passen. Denk hierbij aan aandoenigen als epilepsie.;0;Training, Demonstratie, Handleiding (Bijsluiter), Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, ze zouden een bijsluiter kunnen krijgen waarin uitzonderingen staan
;;;;
